"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	Count
	"Breast"	"26000"	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	1683
	"Breast"	"26000"	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	19
	"Breast"	"26000"	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	1717
	"Breast"	"26000"	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	23
	"Breast"	"26000"	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	1601
	"Breast"	"26000"	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	17
	"Breast"	"26000"	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	1580
	"Breast"	"26000"	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	16
	"Breast"	"26000"	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	1561
	"Breast"	"26000"	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Alaska"	"02"	"2014"	"2014"	"Female"	"F"	233
	"Breast"	"26000"	"Alaska"	"02"	"2014"	"2014"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Alaska"	"02"	"2015"	"2015"	"Female"	"F"	226
	"Breast"	"26000"	"Alaska"	"02"	"2015"	"2015"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Alaska"	"02"	"2016"	"2016"	"Female"	"F"	203
	"Breast"	"26000"	"Alaska"	"02"	"2016"	"2016"	"Male"	"M"	0
	"Breast"	"26000"	"Alaska"	"02"	"2017"	"2017"	"Female"	"F"	209
	"Breast"	"26000"	"Alaska"	"02"	"2017"	"2017"	"Male"	"M"	0
	"Breast"	"26000"	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	235
	"Breast"	"26000"	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	0
	"Breast"	"26000"	"Arizona"	"04"	"2014"	"2014"	"Female"	"F"	1937
	"Breast"	"26000"	"Arizona"	"04"	"2014"	"2014"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Arizona"	"04"	"2015"	"2015"	"Female"	"F"	1947
	"Breast"	"26000"	"Arizona"	"04"	"2015"	"2015"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Arizona"	"04"	"2016"	"2016"	"Female"	"F"	2040
	"Breast"	"26000"	"Arizona"	"04"	"2016"	"2016"	"Male"	"M"	17
	"Breast"	"26000"	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	1950
	"Breast"	"26000"	"Arizona"	"04"	"2017"	"2017"	"Male"	"M"	23
	"Breast"	"26000"	"Arizona"	"04"	"2018"	"2018"	"Female"	"F"	1920
	"Breast"	"26000"	"Arizona"	"04"	"2018"	"2018"	"Male"	"M"	31
	"Breast"	"26000"	"Arkansas"	"05"	"2014"	"2014"	"Female"	"F"	931
	"Breast"	"26000"	"Arkansas"	"05"	"2014"	"2014"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Arkansas"	"05"	"2015"	"2015"	"Female"	"F"	941
	"Breast"	"26000"	"Arkansas"	"05"	"2015"	"2015"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Arkansas"	"05"	"2016"	"2016"	"Female"	"F"	948
	"Breast"	"26000"	"Arkansas"	"05"	"2016"	"2016"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Arkansas"	"05"	"2017"	"2017"	"Female"	"F"	909
	"Breast"	"26000"	"Arkansas"	"05"	"2017"	"2017"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Arkansas"	"05"	"2018"	"2018"	"Female"	"F"	979
	"Breast"	"26000"	"Arkansas"	"05"	"2018"	"2018"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"California"	"06"	"2014"	"2014"	"Female"	"F"	11876
	"Breast"	"26000"	"California"	"06"	"2014"	"2014"	"Male"	"M"	57
	"Breast"	"26000"	"California"	"06"	"2015"	"2015"	"Female"	"F"	12407
	"Breast"	"26000"	"California"	"06"	"2015"	"2015"	"Male"	"M"	79
	"Breast"	"26000"	"California"	"06"	"2016"	"2016"	"Female"	"F"	12077
	"Breast"	"26000"	"California"	"06"	"2016"	"2016"	"Male"	"M"	76
	"Breast"	"26000"	"California"	"06"	"2017"	"2017"	"Female"	"F"	12536
	"Breast"	"26000"	"California"	"06"	"2017"	"2017"	"Male"	"M"	55
	"Breast"	"26000"	"California"	"06"	"2018"	"2018"	"Female"	"F"	12126
	"Breast"	"26000"	"California"	"06"	"2018"	"2018"	"Male"	"M"	72
	"Breast"	"26000"	"Colorado"	"08"	"2014"	"2014"	"Female"	"F"	1746
	"Breast"	"26000"	"Colorado"	"08"	"2014"	"2014"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Colorado"	"08"	"2015"	"2015"	"Female"	"F"	1817
	"Breast"	"26000"	"Colorado"	"08"	"2015"	"2015"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Colorado"	"08"	"2016"	"2016"	"Female"	"F"	1856
	"Breast"	"26000"	"Colorado"	"08"	"2016"	"2016"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Colorado"	"08"	"2017"	"2017"	"Female"	"F"	1854
	"Breast"	"26000"	"Colorado"	"08"	"2017"	"2017"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Colorado"	"08"	"2018"	"2018"	"Female"	"F"	1880
	"Breast"	"26000"	"Colorado"	"08"	"2018"	"2018"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Connecticut"	"09"	"2014"	"2014"	"Female"	"F"	1517
	"Breast"	"26000"	"Connecticut"	"09"	"2014"	"2014"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Connecticut"	"09"	"2015"	"2015"	"Female"	"F"	1560
	"Breast"	"26000"	"Connecticut"	"09"	"2015"	"2015"	"Male"	"M"	16
	"Breast"	"26000"	"Connecticut"	"09"	"2016"	"2016"	"Female"	"F"	1480
	"Breast"	"26000"	"Connecticut"	"09"	"2016"	"2016"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Connecticut"	"09"	"2017"	"2017"	"Female"	"F"	1442
	"Breast"	"26000"	"Connecticut"	"09"	"2017"	"2017"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Connecticut"	"09"	"2018"	"2018"	"Female"	"F"	1442
	"Breast"	"26000"	"Connecticut"	"09"	"2018"	"2018"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Delaware"	"10"	"2014"	"2014"	"Female"	"F"	370
	"Breast"	"26000"	"Delaware"	"10"	"2014"	"2014"	"Male"	"M"	0
	"Breast"	"26000"	"Delaware"	"10"	"2015"	"2015"	"Female"	"F"	373
	"Breast"	"26000"	"Delaware"	"10"	"2015"	"2015"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Delaware"	"10"	"2016"	"2016"	"Female"	"F"	357
	"Breast"	"26000"	"Delaware"	"10"	"2016"	"2016"	"Male"	"M"	0
	"Breast"	"26000"	"Delaware"	"10"	"2017"	"2017"	"Female"	"F"	325
	"Breast"	"26000"	"Delaware"	"10"	"2017"	"2017"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Delaware"	"10"	"2018"	"2018"	"Female"	"F"	371
	"Breast"	"26000"	"Delaware"	"10"	"2018"	"2018"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"District of Columbia"	"11"	"2014"	"2014"	"Female"	"F"	194
	"Breast"	"26000"	"District of Columbia"	"11"	"2014"	"2014"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"District of Columbia"	"11"	"2015"	"2015"	"Female"	"F"	191
	"Breast"	"26000"	"District of Columbia"	"11"	"2015"	"2015"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"District of Columbia"	"11"	"2016"	"2016"	"Female"	"F"	230
	"Breast"	"26000"	"District of Columbia"	"11"	"2016"	"2016"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"District of Columbia"	"11"	"2017"	"2017"	"Female"	"F"	230
	"Breast"	"26000"	"District of Columbia"	"11"	"2017"	"2017"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"District of Columbia"	"11"	"2018"	"2018"	"Female"	"F"	206
	"Breast"	"26000"	"District of Columbia"	"11"	"2018"	"2018"	"Male"	"M"	0
	"Breast"	"26000"	"Florida"	"12"	"2014"	"2014"	"Female"	"F"	6821
	"Breast"	"26000"	"Florida"	"12"	"2014"	"2014"	"Male"	"M"	39
	"Breast"	"26000"	"Florida"	"12"	"2015"	"2015"	"Female"	"F"	6911
	"Breast"	"26000"	"Florida"	"12"	"2015"	"2015"	"Male"	"M"	49
	"Breast"	"26000"	"Florida"	"12"	"2016"	"2016"	"Female"	"F"	7075
	"Breast"	"26000"	"Florida"	"12"	"2016"	"2016"	"Male"	"M"	60
	"Breast"	"26000"	"Florida"	"12"	"2017"	"2017"	"Female"	"F"	7016
	"Breast"	"26000"	"Florida"	"12"	"2017"	"2017"	"Male"	"M"	52
	"Breast"	"26000"	"Florida"	"12"	"2018"	"2018"	"Female"	"F"	7129
	"Breast"	"26000"	"Florida"	"12"	"2018"	"2018"	"Male"	"M"	54
	"Breast"	"26000"	"Georgia"	"13"	"2014"	"2014"	"Female"	"F"	3413
	"Breast"	"26000"	"Georgia"	"13"	"2014"	"2014"	"Male"	"M"	26
	"Breast"	"26000"	"Georgia"	"13"	"2015"	"2015"	"Female"	"F"	3422
	"Breast"	"26000"	"Georgia"	"13"	"2015"	"2015"	"Male"	"M"	27
	"Breast"	"26000"	"Georgia"	"13"	"2016"	"2016"	"Female"	"F"	3459
	"Breast"	"26000"	"Georgia"	"13"	"2016"	"2016"	"Male"	"M"	25
	"Breast"	"26000"	"Georgia"	"13"	"2017"	"2017"	"Female"	"F"	3513
	"Breast"	"26000"	"Georgia"	"13"	"2017"	"2017"	"Male"	"M"	19
	"Breast"	"26000"	"Georgia"	"13"	"2018"	"2018"	"Female"	"F"	3637
	"Breast"	"26000"	"Georgia"	"13"	"2018"	"2018"	"Male"	"M"	38
	"Breast"	"26000"	"Hawaii"	"15"	"2014"	"2014"	"Female"	"F"	584
	"Breast"	"26000"	"Hawaii"	"15"	"2014"	"2014"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Hawaii"	"15"	"2015"	"2015"	"Female"	"F"	551
	"Breast"	"26000"	"Hawaii"	"15"	"2015"	"2015"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Hawaii"	"15"	"2016"	"2016"	"Female"	"F"	540
	"Breast"	"26000"	"Hawaii"	"15"	"2016"	"2016"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Hawaii"	"15"	"2017"	"2017"	"Female"	"F"	577
	"Breast"	"26000"	"Hawaii"	"15"	"2017"	"2017"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Hawaii"	"15"	"2018"	"2018"	"Female"	"F"	525
	"Breast"	"26000"	"Hawaii"	"15"	"2018"	"2018"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Idaho"	"16"	"2014"	"2014"	"Female"	"F"	500
	"Breast"	"26000"	"Idaho"	"16"	"2014"	"2014"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Idaho"	"16"	"2015"	"2015"	"Female"	"F"	503
	"Breast"	"26000"	"Idaho"	"16"	"2015"	"2015"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Idaho"	"16"	"2016"	"2016"	"Female"	"F"	516
	"Breast"	"26000"	"Idaho"	"16"	"2016"	"2016"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Idaho"	"16"	"2017"	"2017"	"Female"	"F"	545
	"Breast"	"26000"	"Idaho"	"16"	"2017"	"2017"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Idaho"	"16"	"2018"	"2018"	"Female"	"F"	534
	"Breast"	"26000"	"Idaho"	"16"	"2018"	"2018"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Illinois"	"17"	"2014"	"2014"	"Female"	"F"	4695
	"Breast"	"26000"	"Illinois"	"17"	"2014"	"2014"	"Male"	"M"	34
	"Breast"	"26000"	"Illinois"	"17"	"2015"	"2015"	"Female"	"F"	4721
	"Breast"	"26000"	"Illinois"	"17"	"2015"	"2015"	"Male"	"M"	26
	"Breast"	"26000"	"Illinois"	"17"	"2016"	"2016"	"Female"	"F"	4751
	"Breast"	"26000"	"Illinois"	"17"	"2016"	"2016"	"Male"	"M"	26
	"Breast"	"26000"	"Illinois"	"17"	"2017"	"2017"	"Female"	"F"	4646
	"Breast"	"26000"	"Illinois"	"17"	"2017"	"2017"	"Male"	"M"	40
	"Breast"	"26000"	"Illinois"	"17"	"2018"	"2018"	"Female"	"F"	4491
	"Breast"	"26000"	"Illinois"	"17"	"2018"	"2018"	"Male"	"M"	32
	"Breast"	"26000"	"Indiana"	"18"	"2014"	"2014"	"Female"	"F"	2197
	"Breast"	"26000"	"Indiana"	"18"	"2014"	"2014"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Indiana"	"18"	"2015"	"2015"	"Female"	"F"	2169
	"Breast"	"26000"	"Indiana"	"18"	"2015"	"2015"	"Male"	"M"	Suppressed
