"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	Count
	"Breast"	"26000"	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	1676
	"Breast"	"26000"	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	23
	"Breast"	"26000"	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	1772
	"Breast"	"26000"	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	27
	"Breast"	"26000"	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	1844
	"Breast"	"26000"	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	34
	"Breast"	"26000"	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	1768
	"Breast"	"26000"	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	16
	"Breast"	"26000"	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	1885
	"Breast"	"26000"	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	27
	"Breast"	"26000"	"Alaska"	"02"	"2014"	"2014"	"Female"	"F"	164
	"Breast"	"26000"	"Alaska"	"02"	"2014"	"2014"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Alaska"	"02"	"2015"	"2015"	"Female"	"F"	161
	"Breast"	"26000"	"Alaska"	"02"	"2015"	"2015"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Alaska"	"02"	"2016"	"2016"	"Female"	"F"	161
	"Breast"	"26000"	"Alaska"	"02"	"2016"	"2016"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Alaska"	"02"	"2017"	"2017"	"Female"	"F"	144
	"Breast"	"26000"	"Alaska"	"02"	"2017"	"2017"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	172
	"Breast"	"26000"	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Arizona"	"04"	"2014"	"2014"	"Female"	"F"	2391
	"Breast"	"26000"	"Arizona"	"04"	"2014"	"2014"	"Male"	"M"	19
	"Breast"	"26000"	"Arizona"	"04"	"2015"	"2015"	"Female"	"F"	2328
	"Breast"	"26000"	"Arizona"	"04"	"2015"	"2015"	"Male"	"M"	20
	"Breast"	"26000"	"Arizona"	"04"	"2016"	"2016"	"Female"	"F"	2495
	"Breast"	"26000"	"Arizona"	"04"	"2016"	"2016"	"Male"	"M"	30
	"Breast"	"26000"	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	2500
	"Breast"	"26000"	"Arizona"	"04"	"2017"	"2017"	"Male"	"M"	37
	"Breast"	"26000"	"Arizona"	"04"	"2018"	"2018"	"Female"	"F"	2652
	"Breast"	"26000"	"Arizona"	"04"	"2018"	"2018"	"Male"	"M"	32
	"Breast"	"26000"	"Arkansas"	"05"	"2014"	"2014"	"Female"	"F"	1022
	"Breast"	"26000"	"Arkansas"	"05"	"2014"	"2014"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Arkansas"	"05"	"2015"	"2015"	"Female"	"F"	1048
	"Breast"	"26000"	"Arkansas"	"05"	"2015"	"2015"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Arkansas"	"05"	"2016"	"2016"	"Female"	"F"	1125
	"Breast"	"26000"	"Arkansas"	"05"	"2016"	"2016"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Arkansas"	"05"	"2017"	"2017"	"Female"	"F"	1077
	"Breast"	"26000"	"Arkansas"	"05"	"2017"	"2017"	"Male"	"M"	16
	"Breast"	"26000"	"Arkansas"	"05"	"2018"	"2018"	"Female"	"F"	1163
	"Breast"	"26000"	"Arkansas"	"05"	"2018"	"2018"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"California"	"06"	"2014"	"2014"	"Female"	"F"	11303
	"Breast"	"26000"	"California"	"06"	"2014"	"2014"	"Male"	"M"	120
	"Breast"	"26000"	"California"	"06"	"2015"	"2015"	"Female"	"F"	11784
	"Breast"	"26000"	"California"	"06"	"2015"	"2015"	"Male"	"M"	130
	"Breast"	"26000"	"California"	"06"	"2016"	"2016"	"Female"	"F"	11924
	"Breast"	"26000"	"California"	"06"	"2016"	"2016"	"Male"	"M"	112
	"Breast"	"26000"	"California"	"06"	"2017"	"2017"	"Female"	"F"	12221
	"Breast"	"26000"	"California"	"06"	"2017"	"2017"	"Male"	"M"	112
	"Breast"	"26000"	"California"	"06"	"2018"	"2018"	"Female"	"F"	12777
	"Breast"	"26000"	"California"	"06"	"2018"	"2018"	"Male"	"M"	134
	"Breast"	"26000"	"Colorado"	"08"	"2014"	"2014"	"Female"	"F"	1592
	"Breast"	"26000"	"Colorado"	"08"	"2014"	"2014"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Colorado"	"08"	"2015"	"2015"	"Female"	"F"	1604
	"Breast"	"26000"	"Colorado"	"08"	"2015"	"2015"	"Male"	"M"	21
	"Breast"	"26000"	"Colorado"	"08"	"2016"	"2016"	"Female"	"F"	1733
	"Breast"	"26000"	"Colorado"	"08"	"2016"	"2016"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Colorado"	"08"	"2017"	"2017"	"Female"	"F"	1917
	"Breast"	"26000"	"Colorado"	"08"	"2017"	"2017"	"Male"	"M"	20
	"Breast"	"26000"	"Colorado"	"08"	"2018"	"2018"	"Female"	"F"	1915
	"Breast"	"26000"	"Colorado"	"08"	"2018"	"2018"	"Male"	"M"	21
	"Breast"	"26000"	"Connecticut"	"09"	"2014"	"2014"	"Female"	"F"	1440
	"Breast"	"26000"	"Connecticut"	"09"	"2014"	"2014"	"Male"	"M"	20
	"Breast"	"26000"	"Connecticut"	"09"	"2015"	"2015"	"Female"	"F"	1491
