,states,fips,year,sex,sex_code,age_group,population,breast,lung_and_bronchus,melanoma_of_the_skin,real_gdp,real_personal_income,real_pce,gdp,personal_income,disposable_personal_income,pce,regional_price_parities,n_jobs,regional_price_deflator,states_abbr,non_smoker_rate
0,Alabama,01,2014,Female,F,25-44,625968,57.0,161.55295950155764,12.0,189886.3,193661.1,158801.9,197406.9,181078.8,164562.8,148689.4,91.005,2551872.0,93.632,AL,61.6
1,Alabama,01,2014,Female,F,45-64,665676,252.0,81.0,25.0,189886.3,193661.1,158801.9,197406.9,181078.8,164562.8,148689.4,91.005,2551872.0,93.632,AL,61.6
2,Alabama,01,2014,Female,F,65+,421311,397.0,255.0,38.0,189886.3,193661.1,158801.9,197406.9,181078.8,164562.8,148689.4,91.005,2551872.0,93.632,AL,61.6
3,Alabama,01,2014,Male,M,25-44,593703,172.9634703196347,3.0,10.0,189886.3,193661.1,158801.9,197406.9,181078.8,164562.8,148689.4,91.005,2551872.0,93.632,AL,46.3
4,Alabama,01,2014,Male,M,45-64,618113,3.0,133.0,34.0,189886.3,193661.1,158801.9,197406.9,181078.8,164562.8,148689.4,91.005,2551872.0,93.632,AL,46.3
5,Alabama,01,2014,Male,M,65+,320681,7.0,463.0,111.0,189886.3,193661.1,158801.9,197406.9,181078.8,164562.8,148689.4,91.005,2551872.0,93.632,AL,46.3
6,Alabama,01,2015,Female,F,25-44,626805,55.0,3.0,14.0,191335.2,203544.4,164127.8,202372.4,189115.4,171157.0,152755.9,90.259,2587451.0,93.071,AL,62.2
7,Alabama,01,2015,Female,F,45-64,666740,257.0,85.0,28.0,191335.2,203544.4,164127.8,202372.4,189115.4,171157.0,152755.9,90.259,2587451.0,93.071,AL,62.2
8,Alabama,01,2015,Female,F,65+,431884,410.0,250.0,47.0,191335.2,203544.4,164127.8,202372.4,189115.4,171157.0,152755.9,90.259,2587451.0,93.071,AL,62.2
9,Alabama,01,2015,Male,M,25-44,595229,0.0,3.0,8.0,191335.2,203544.4,164127.8,202372.4,189115.4,171157.0,152755.9,90.259,2587451.0,93.071,AL,48.6
10,Alabama,01,2015,Male,M,45-64,618520,3.0,124.0,44.0,191335.2,203544.4,164127.8,202372.4,189115.4,171157.0,152755.9,90.259,2587451.0,93.071,AL,48.6
11,Alabama,01,2015,Male,M,65+,330417,8.0,448.0,134.0,191335.2,203544.4,164127.8,202372.4,189115.4,171157.0,152755.9,90.259,2587451.0,93.071,AL,48.6
12,Alabama,01,2016,Female,F,25-44,627766,61.0,2.0,16.0,194283.8,203118.8,165559.2,207368.4,192363.5,173653.1,157119.9,91.122,2619737.0,94.903,AL,62.1
13,Alabama,01,2016,Female,F,45-64,668528,239.0,85.0,31.0,194283.8,203118.8,165559.2,207368.4,192363.5,173653.1,157119.9,91.122,2619737.0,94.903,AL,62.1
14,Alabama,01,2016,Female,F,65+,443183,416.0,252.0,50.0,194283.8,203118.8,165559.2,207368.4,192363.5,173653.1,157119.9,91.122,2619737.0,94.903,AL,62.1
15,Alabama,01,2016,Male,M,25-44,594965,172.9634703196347,3.0,11.0,194283.8,203118.8,165559.2,207368.4,192363.5,173653.1,157119.9,91.122,2619737.0,94.903,AL,46.3
16,Alabama,01,2016,Male,M,45-64,619063,2.0,127.0,44.0,194283.8,203118.8,165559.2,207368.4,192363.5,173653.1,157119.9,91.122,2619737.0,94.903,AL,46.3
17,Alabama,01,2016,Male,M,65+,340822,9.0,442.0,142.0,194283.8,203118.8,165559.2,207368.4,192363.5,173653.1,157119.9,91.122,2619737.0,94.903,AL,46.3
18,Alabama,01,2017,Female,F,25-44,629495,56.0,3.0,18.0,196974.9,208645.0,170601.0,214606.3,199191.8,180348.3,163367.8,90.296,2649157.0,95.76,AL,63.2
19,Alabama,01,2017,Female,F,45-64,668414,236.0,82.0,32.0,196974.9,208645.0,170601.0,214606.3,199191.8,180348.3,163367.8,90.296,2649157.0,95.76,AL,63.2
20,Alabama,01,2017,Female,F,65+,454361,389.0,252.0,52.0,196974.9,208645.0,170601.0,214606.3,199191.8,180348.3,163367.8,90.296,2649157.0,95.76,AL,63.2
21,Alabama,01,2017,Male,M,25-44,595307,172.9634703196347,3.0,9.0,196974.9,208645.0,170601.0,214606.3,199191.8,180348.3,163367.8,90.296,2649157.0,95.76,AL,47.3
22,Alabama,01,2017,Male,M,45-64,617639,2.0,124.0,40.0,196974.9,208645.0,170601.0,214606.3,199191.8,180348.3,163367.8,90.296,2649157.0,95.76,AL,47.3
23,Alabama,01,2017,Male,M,65+,350905,4.0,413.0,127.0,196974.9,208645.0,170601.0,214606.3,199191.8,180348.3,163367.8,90.296,2649157.0,95.76,AL,47.3
24,Alabama,01,2018,Female,F,25-44,630803,57.0,3.0,16.0,200372.6,217765.2,179311.2,223859.3,206712.0,188347.5,170857.1,87.968,2692095.0,95.285,AL,62.6
25,Alabama,01,2018,Female,F,45-64,666415,234.0,85.0,36.0,200372.6,217765.2,179311.2,223859.3,206712.0,188347.5,170857.1,87.968,2692095.0,95.285,AL,62.6
26,Alabama,01,2018,Female,F,65+,466075,404.0,248.0,47.0,200372.6,217765.2,179311.2,223859.3,206712.0,188347.5,170857.1,87.968,2692095.0,95.285,AL,62.6
27,Alabama,01,2018,Male,M,25-44,597012,0.0,3.0,10.0,200372.6,217765.2,179311.2,223859.3,206712.0,188347.5,170857.1,87.968,2692095.0,95.285,AL,49.0
28,Alabama,01,2018,Male,M,45-64,614420,172.9634703196347,117.0,39.0,200372.6,217765.2,179311.2,223859.3,206712.0,188347.5,170857.1,87.968,2692095.0,95.285,AL,49.0
29,Alabama,01,2018,Male,M,65+,360905,7.0,405.0,124.0,200372.6,217765.2,179311.2,223859.3,206712.0,188347.5,170857.1,87.968,2692095.0,95.285,AL,49.0
30,Alaska,02,2014,Female,F,25-44,96452,58.0,161.55295950155764,50.42757172848145,54188.2,38785.7,30847.5,56484.9,41210.0,37647.8,32820.9,103.412,461327.0,106.397,AK,58.3
31,Alaska,02,2014,Female,F,45-64,92181,252.0,65.0,23.0,54188.2,38785.7,30847.5,56484.9,41210.0,37647.8,32820.9,103.412,461327.0,106.397,AK,58.3
32,Alaska,02,2014,Female,F,65+,35300,464.0,254.0,50.42757172848145,54188.2,38785.7,30847.5,56484.9,41210.0,37647.8,32820.9,103.412,461327.0,106.397,AK,58.3
33,Alaska,02,2014,Male,M,25-44,98440,0.0,0.0,50.42757172848145,54188.2,38785.7,30847.5,56484.9,41210.0,37647.8,32820.9,103.412,461327.0,106.397,AK,50.9
34,Alaska,02,2014,Male,M,45-64,100205,172.9634703196347,72.0,22.0,54188.2,38785.7,30847.5,56484.9,41210.0,37647.8,32820.9,103.412,461327.0,106.397,AK,50.9
35,Alaska,02,2014,Male,M,65+,34704,172.9634703196347,391.0,86.0,54188.2,38785.7,30847.5,56484.9,41210.0,37647.8,32820.9,103.412,461327.0,106.397,AK,50.9
36,Alaska,02,2015,Female,F,25-44,97064,59.0,161.55295950155764,50.42757172848145,54740.8,39586.9,31106.5,51490.9,42555.1,38714.9,33496.5,104.43,461649.0,107.683,AK,56.9
37,Alaska,02,2015,Female,F,45-64,91535,246.0,72.0,22.0,54740.8,39586.9,31106.5,51490.9,42555.1,38714.9,33496.5,104.43,461649.0,107.683,AK,56.9
38,Alaska,02,2015,Female,F,65+,37236,432.0,255.0,50.42757172848145,54740.8,39586.9,31106.5,51490.9,42555.1,38714.9,33496.5,104.43,461649.0,107.683,AK,56.9
39,Alaska,02,2015,Male,M,25-44,99603,0.0,0.0,50.42757172848145,54740.8,39586.9,31106.5,51490.9,42555.1,38714.9,33496.5,104.43,461649.0,107.683,AK,51.6
40,Alaska,02,2015,Male,M,45-64,99029,172.9634703196347,90.0,50.42757172848145,54740.8,39586.9,31106.5,51490.9,42555.1,38714.9,33496.5,104.43,461649.0,107.683,AK,51.6
41,Alaska,02,2015,Male,M,65+,36819,172.9634703196347,347.0,76.0,54740.8,39586.9,31106.5,51490.9,42555.1,38714.9,33496.5,104.43,461649.0,107.683,AK,51.6
42,Alaska,02,2016,Female,F,25-44,98550,49.0,161.55295950155764,50.42757172848145,54246.6,38320.5,31276.5,50727.7,41837.4,38255.9,34218.2,105.048,457120.0,109.406,AK,58.8
